stamp_ns,x,y,z,qx,qy,qz,qw
1790244982962062120,1.924185829561571,1.555773486683043,-0.016222150783208412,0.0036632067195756044,-0.009586607263325856,0.6248969938268916,0.7806397536531102
1790244983062072277,1.93311444177135,1.5942574088252877,0.001266851741906441,0.003474125966664372,-0.009613277376401792,0.6326496871507602,0.7743706403878308
1790244983162072181,1.9369447148358976,1.6336404516589718,0.03277616443496607,0.0034049284900929356,-0.009570526783065662,0.640578274083221,0.7678256874130941
1790244983262062311,1.9435393328046984,1.6734758687694244,0.06373942768194588,0.003260619282953373,-0.009676045409528964,0.6482325683485354,0.7613739421855343
1790244983362062215,1.9520865131965488,1.7065752989599963,0.08113011291668618,0.003150954469697398,-0.009733489416041281,0.6555682317992321,0.7550666355528467
1790244983462072134,1.9543545311110526,1.744464744889363,0.08318915358625617,0.0031041062542352853,-0.009819935469069348,0.6629792020866188,0.7485669716144858
1790244983562072277,1.9557226643890162,1.7870763925299937,0.06582178661778842,0.003034022699628092,-0.00988080556471041,0.6705855921574743,0.7417601552915877
1790244983662057161,1.964668562200066,1.82783336363899,0.035832272707399894,0.002859480893019335,-0.009843318907892619,0.6780475941333735,0.7349465235862983
1790244983762072324,1.9668603900645778,1.8669750322528191,0.007278107458957198,0.002751383960907557,-0.009838471791023823,0.685407973694759,0.728087593600175
1790244983862057209,1.9673240894909123,1.9071157328811001,-0.009622590339254281,0.0027060571155341764,-0.00982127255332492,0.6925849228072316,0.7212644068302211
1790244983962072134,1.9689459427173945,1.9498157034846286,-0.009903269450155676,0.002665704600561081,-0.009751144207608598,0.6996252218337545,0.7144384915298291
1790244984062072277,1.9663887891856908,1.9883758496366706,0.00817103741570215,0.002565814238779796,-0.010031514489734543,0.7070190287308131,0.7071187158650146
1790244984162057161,1.9630006060364869,2.0287067331453197,0.040009298166752125,0.0025446116674556715,-0.00991189541495519,0.7139945748802757,0.7000764431988725
1790244984262067317,1.967687828473908,2.0634547745109715,0.0707859374722599,0.0023692234547128535,-0.009916555439237574,0.7209566383525874,0.6929051697912727
1790244984362062215,1.9597436000070136,2.100431509376143,0.09056006895035884,0.0022390814570835966,-0.009974790394177218,0.7276718849451715,0.6858491947438982
1790244984462057113,1.9588669348904997,2.1456228116843863,0.08893858636359056,0.0022857827889724734,-0.010001166449645866,0.734579567460777,0.6784449947751923
1790244984562072277,1.9599447145209064,2.1844027334432434,0.07199130192483073,0.0020375901410674283,-0.010251438035462215,0.741157982135807,0.6712492843651148
1790244984662057161,1.9518084209491826,2.220263735196637,0.04251165976159777,0.0019029192091716029,-0.009976391469935803,0.7480764981230235,0.6635347793954642
1790244984762057304,1.9453660707914513,2.2647433825153698,0.013005809464553935,0.001884349973418563,-0.010168179339195758,0.7546569607376499,0.6560380545090234
1790244984862057209,1.9401542758528614,2.300038466560399,-0.005767820829985498,0.00208503215645422,-0.010031374131529169,0.7611559233887868,0.6484879987044992
1790244984962057113,1.9354167715378008,2.3397141223400317,-0.003215762678191955,0.0015463056835886794,-0.009994867032283132,0.7674869626847184,0.6409847686804897
1790244985062067270,1.9267130902488971,2.3784243558428373,0.016650853696990403,0.0016051664092197064,-0.010095667975760296,0.7738514815050014,0.6332846007136816
1790244985162067174,1.914549158185464,2.41879277190672,0.046732978069083615,0.001453971816666702,-0.01009523536056315,0.7801615758995494,0.6254949141907867
1790244985262062311,1.9102283914447011,2.4543071417498115,0.07820999102837085,0.0014951653749112415,-0.010061792286437872,0.7863446067510047,0.6177043663838937
1790244985362062215,1.8975339563957245,2.495243405329243,0.09603158125287997,0.0012091850900327447,-0.010206881824928226,0.7925938369510184,0.6096633227132219
