stamp_ns,header_stamp_ns,x,y,z,qx,qy,qz,qw
1790245362477785163,1790244988762072324,1.1445034446586781,3.577252302637356,0.027747439685730412,-0.002108747086996921,-0.00993088676956151,0.9505447704788053,0.31042160038980243
1790245362579795725,1790244988862057209,1.112538741313485,3.5999901556718292,0.010617486471889273,-0.0021541824345773014,-0.009878161703840769,0.9534939033455472,0.3012426890428058
1790245362681095304,1790244988962057113,1.0782416204547003,3.6222963617867343,0.01108915068084887,-0.002363550438498417,-0.009952955089067851,0.956612844631278,0.2911824476170364
1790245362778134065,1790244989062072277,1.0457612051320397,3.6476098561569734,0.030226972782265358,-0.002263100937822228,-0.010058545115587146,0.9593918375243962,0.2818882866231542
1790245362878982968,1790244989162057161,1.0137308879392817,3.664039144790381,0.06076480421722091,-0.0026278101676675304,-0.010038556884194562,0.9621662352075632,0.2722654179571446
1790245362979097007,1790244989262067317,0.9811154865169707,3.683511820606356,0.08837997200124467,-0.002616419114675863,-0.009895775805871712,0.9648577874262477,0.26257318601602514
1790245363077637508,1790244989362062215,0.9463475848183976,3.70561074852195,0.10772699837227093,-0.0028098959692855335,-0.009997913281325124,0.9673977287158064,0.2530489689558511
1790245363180181051,1790244989462067127,0.9096062484935781,3.719412204642732,0.10743527732579428,-0.0029842668329238364,-0.010016351788153386,0.9699100031759212,0.24323929079625978
1790245363279022358,1790244989562062263,0.87790573030336,3.738617345184784,0.09086474983365671,-0.002863857526293389,-0.010024774780840863,0.9722959428779531,0.23352066647983816
1790245363378565251,1790244989662062168,0.8469347291973987,3.7606382283487654,0.058617050174069006,-0.002921628168090642,-0.00992837623022578,0.9745243887864506,0.2240426457041674
1790245363478151674,1790244989762067317,0.8077795703602599,3.7758438780062034,0.027606020398628,-0.0031775189564671492,-0.009625707229259081,0.9767420751273553,0.21417788823538889
1790245363578734607,1790244989862062215,0.7690559008507603,3.793235006901897,0.00972242966169653,-0.0033467949899821524,-0.009729060314760956,0.9788654673891709,0.20424627561135572
1790245363678553518,1790244989962062120,0.7332054928306675,3.8042647965334546,0.010895246633452461,-0.0033054694683601147,-0.009641429782890319,0.9808329039500334,0.19458399531236034
1790245363776850968,1790244990062057256,0.6984494781884828,3.821036600199895,0.027672664124423433,-0.0034891494911752506,-0.009575434549011412,0.9827293030121093,0.1847681084218703
